year,categories,total_received,total_adjudicated,upheld,reversed,total_written,abandoned,withdrawn,dismissed,remanded,invalid
2017,FEDERALLY FACILITATED MARKETPLACE,1,2,,,,1,,1,,
2017,INTERMEDIATE CARE FACILITY FOR INDIV/ WITH INTELLECTUAL DISABILITIES,2,2,1,,1,,1,,,
2017,INTELLECTUAL DEVELOPMENTAL DISABILITIES,183,181,28,4,32,6,82,42,3,16
2017,LOW-INCOME ENERGY ASSISTANCE PROGRAM,35,36,5,1,6,8,19,2,,1
2017,LONG-TERM CARE - FINANCIAL,31,33,12,,12,2,14,4,,1
2017,LONG-TERM CARE - MEDICAL,28,28,1,1,2,2,17,5,1,1
2017,MEDICAID,429,439,31,5,36,61,245,76,4,17
2017,MEDICAL SERVICES,70,72,9,,9,8,29,21,,5
2017,NON-EMERGENCY MEDICAL TRANSPORTATION,7,6,1,2,3,,3,,,
2017,NURSING-HOME DISCHARGE,18,20,5,3,8,,6,6,,
2017,PERSONAL CARE SERVICES,21,18,,3,3,5,8,1,1,
2017,SCHOOL CLOTHING ALLOWANCE,22,22,4,,4,7,7,4,,
2017,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,624,656,79,14,93,198,299,53,,13
2017,TRAUMATIC BRAIN INJURY,2,2,,,,,2,,,
2017,TAKE ME HOME PROGRAM,3,2,,,,,2,,,
2017,"WOMENS, INFANTS, AND CHILDREN",2,3,,,,2,,1,,
2017,WV CHILDREN'S HEALTH INSURANCE PROGRAM,10,9,1,1,2,,7,,,
2017,WV WORKS CASH ASSISTANCE,85,84,18,6,24,28,19,10,1,2
2016,ADMINISTRATIVE DISQUALIFICATION HEARING,135,164,100,6,106,,9,48,,1
2016,AGED/DISABLED WAIVER PROGRAM,58,62,9,4,13,7,16,10,16,
2016,ADULT PROTECTIVE SERVICES,22,24,11,5,16,1,,7,,
2016,ADMINISTRATIVE SERVICES ORGANIZATION,1,1,,,,,,1,,
2016,BUREAU FOR CHILD SUPPORT ENFORCEMENT,1,,,,,,,,,
2016,BURIAL,1,1,,,,1,,,,
2016,CHILD CARE - CUSTOMER,40,46,14,6,20,16,9,1,,
2016,CHILD CARE - PROVIDER,6,6,,1,1,2,2,1,,
2016,CHILDREN W/DISABILITIES COMMUNITY SERVICE PROGRAM,10,11,4,,4,1,3,2,1,
2016,CERTIFIED NURSE AIDE,29,27,12,3,15,2,3,7,,
2016,CHILD PROTECTIVE SERVICES,310,309,87,24,111,45,3,133,,17
2016,EMERGENCY ASSISTANCE,6,6,1,2,3,1,1,1,,
2016,FACILITY,3,4,,,,1,1,2,,
2016,FOSTER CARE,30,27,6,1,7,,4,16,,
2016,FEDERALLY FACILITATED MARKETPLACE,2,2,1,,1,1,,,,
2016,INTERMEDIATE CARE FACILITIES FOR INDIV. W/INTELLECTUAL DISABILITIES,2,3,1,,1,1,1,,,
2016,INTELLECTUAL DEVELOPMENTAL DISABILITIES,283,348,87,1,88,13,193,34,5,15
2016,LICENSE,1,1,,,,,1,,,
2016,LOW-INCOME ENERGY ASSISTANCE PROGRAM,45,44,2,1,3,7,24,8,,2
2016,LIFELINE,1,1,,,,,,1,,
2016,LONG-TERM CARE - FINANCIAL,25,25,4,1,5,1,14,3,,2
2016,LONG-TERM CARE - MEDICAL,29,28,5,7,12,4,10,2,,
2016,MEDICAID,409,395,20,5,25,50,238,63,2,17
2016,MEDICAL SERVICES,95,124,19,1,20,31,36,33,1,3
2016,NON-EMERGENCY MEDICAL TRANSPORTATION,6,10,,,,1,6,2,1,
2016,NURSING-HOME DISCHARGE,20,21,2,3,5,,9,7,,
2016,NON-SPECIFIED,11,11,,,,,9,1,,1
2016,PERSONAL CARE SERVICES,22,23,3,6,9,4,9,1,,
2016,PAIN MANAGEMENT CLINICS,5,8,3,,3,,1,4,,
2016,SCHOOL CLOTHING ALLOWANCE,42,42,4,1,5,17,13,4,,3
2016,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,758,741,66,9,75,189,385,77,3,12
2016,TRAUMATIC BRAIN INJURY,1,1,1,,1,,,,,
2016,UTILITY DISCOUNT PROGRAM,1,1,,,,,1,,,
2016,"WOMENS, INFANTS, AND CHILDRENS",3,2,1,,1,,1,,,
2016,WV CHILDREN'S HEALTH INSURANCE PROGRAM,6,6,,,,1,5,,,
2016,WV WORKS CASH ASSISTANCE,128,138,13,5,18,61,34,19,1,5
2015,ADMINISTRATIVE DISQUALIFICATION HEARING,152,139,92,5,97,,3,4,35,,2,
2015,ADOPTION,1,1,,,,,,,1,,,
2015,AGED/DISABLED WAIVER PROGRAM,93,103,24,14,38,13,23,8,19,,,
2015,ADULT PROTECTIVE SERVICES,21,27,11,2,13,3,1,2,7,,1,
2015,BUREAU FOR CHILD SUPPORT ENFORCEMENT,6,7,,,,1,1,1,3,,1,
2015,BURIAL,,1,,,,1,,,,,,
2015,CHILD CARE - CUSTOMER,37,36,13,1,14,19,,2,,,1,
2015,CHILD CARE - PROVIDER,9,12,2,,2,3,2,1,4,,,
2015,CHILDREN W/DISABILITIES COMMUNITY SERVICE PROGRAM,9,7,2,,2,,,1,4,,,
2015,CERTIFIED NURSE AIDE,44,43,20,1,21,4,1,1,16,,,
2015,CHILD PROTECTIVE SERVICES,381,423,108,45,153,56,4,10,194,,6,
2015,EMERGENCY ASSISTANCE,9,9,1,,1,4,1,3,,,,
2015,FACILITY,1,,,,,,,,,,,
2015,FOSTER CARE,22,27,4,4,8,3,,1,13,1,1,
2015,FEDERALLY-FACILITATED MARKETPLACE MEDICAID,11,10,2,,2,6,,2,,,,
2015,INTERMEDIATE CARE FACILITY INDIV. W/INTELLECTUAL DISABILITIES,5,4,1,,1,,,2,1,,,
2015,INTELLECTUAL DEVELOPMENTAL DISABILITIES PROGRAM,288,218,65,2,67,12,30,26,52,1,30,
2015,LICENSE,1,1,,,,,,,1,,,
2015,LOW INCOME ENERGY ASSISTANCE PROGRAM,43,44,9,,9,13,6,9,5,1,1,
2015,LONG-TERM CARE - FINANCIAL,45,44,4,,4,1,19,5,9,,6,
2015,LONG-TERM CARE - MEDICAL,34,37,4,1,5,3,9,8,10,,2,
2015,MEDICAID,525,541,34,5,39,70,161,139,111,2,19,
2015,MEDICAL SERVICES,267,276,59,1,60,64,20,46,82,,4,
2015,NON-EMERGENCY MEDICAL ASSISTANCE PROGRAM,45,48,4,1,5,9,7,4,18,,5,
2015,NURSING HOME DISCHARGE,15,16,2,3,5,1,3,1,6,,,
2015,NON-SPECIFIED PROGRAM,7,8,,,,,1,,4,,3,
2015,PERSONAL CARE SERVICES,33,44,10,8,18,11,5,2,8,,,
2015,PAIN MANAGEMENT CLINIC,4,1,,,,,,,1,,,
2015,SCHOOL CLOTHING ALLOWANCE,39,39,9,,9,13,7,4,5,,1,
2015,SPECIFIALIZED FOSTER CARE,1,1,1,,1,,,,,,25,
2015,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,666,689,68,10,78,170,180,142,90,4,,
2015,TRAUMATIC-BRAIN INJURY,1,2,,,,,2,,,,,
2015,"WOMENS, INFANTS, AND CHILDREN",3,4,2,,2,2,,,,,,
2015,WV CHILDREN'S HEALTH INSURANCE PROGRAM,6,6,,1,1,2,2,,1,,,
2015,WV WORKS CASH ASSISTANCE,156,163,27,8,35,64,15,22,21,2,4,
2014,ADMINISTRATIVE DISQUALIFICATION HEARINGS,161,158,102,11,113,,6,29,10,,
2014,AGED/DISABLED WAIVER,181,214,98,21,119,14,36,24,17,2,2
2014,ADULT PROTECTIVE SERVICES,33,30,6,4,10,8,1,1,10,,
2014,BUREAU FOR CHILD SUPPORT ENFORCEMENT,4,4,1,,1,2,,1,,,
2014,BURIAL,5,4,1,,1,3,,,,,
2014,CHILD CARE CUSTOMER,51,48,19,3,22,19,1,3,2,,1
2014,CHILD CARE PROVIDER,10,8,4,,4,,1,1,2,,
2014,CHILDREN W/DISABILITIES COMMUNITY SERVICES PROGRAM,2,2,,,,,1,,1,,
2014,CNA ABUSE/NEGLECT REGISTRY,11,8,5,2,7,,,,1,,
2014,CHILD PROTECTIVE SERVICES,395,389,81,44,125,42,5,5,210,,2
2014,EMERGENCY ASSISTANCE,5,5,,,,1,1,2,1,,
2014,FOSTER CARE,25,21,2,,2,3,1,3,12,,
2014,HOMELESS PROGRAM,3,3,1,1,2,1,,,,,
2014,INTERMEDIATE CARE FACILITIES FOR IDD,1,2,,,,,,2,,,
2014,INTELLECTUAL AND DEVELOPMENT DISABILITIES WAIVER,122,119,31,,31,10,9,8,56,3,2
2014,CHILD CARE LICENSURE,3,3,,,,1,1,1,,,
2014,LOW INCOME ENERGY ASSISTANCE PROGRAM,19,18,3,2,5,2,3,4,3,1,
2014,FINANCIAL ELIGIBILITY FOR LONG TERM CARE,40,41,11,,11,1,13,5,8,1,2
2014,MEDICAL ELIGIBILITY FOR LONG TERM CARE,37,34,7,,7,4,4,6,11,,2
2014,FINANCIAL ELIGIBILITY FOR MEDICAID,303,300,22,8,30,65,72,63,55,6,9
2014,MEDICAL SERVICES,208,189,46,,46,43,25,25,48,,2
2014,NON-EMERGENCY MEDICAL TRANSPORTATION,38,33,2,4,6,9,5,5,6,1,
2014,NURSING HOME DISCHARGE,22,25,,6,6,,3,10,5,,1
2014,NON-SPECIFIED PROGRAM,8,8,,,,,,7,,,1
2014,PERSONAL CARE SERVICES,20,9,2,1,3,3,1,2,,,
2014,SCHOOL CLOTHING ALLOWANCE,33,33,8,,8,14,1,5,4,1,
2014,SNAP,586,570,81,9,90,132,106,139,92,2,9
2014,TRAUMATIC BRAIN INJURY WAIVER,3,2,,,,,1,1,,,
2014,WIC,4,3,1,,1,1,1,,,,
2014,WVCHIP,1,1,,,,,1,,,,
2014,WVW,163,162,33,12,45,55,20,19,18,1,4
